Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,W1 before SDSS Epoch DPs,W1 after SDSS Epoch DPs,W1 before DESI Epoch DPs,W1 after DESI Epoch DPs,W2 before SDSS Epoch DPs,W2 after SDSS Epoch DPs,W2 before DESI Epoch DPs,W2 after DESI Epoch DPs,W1 SDSS Gap,W1 DESI Gap,W2 SDSS Gap,W2 DESI Gap,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS Redshift,DESI Redshift
085817.56+322349.7,-0.1133873764933787,1.2396357673833205,0.1547747779060028,1.6921138535407845,0.0030617888427604822,0.03347377000016152,0.008218556637721175,0.08985152200992053,,,,,,,,,9,8,8,5,1,2,1,1,157.3266208299974,157.24760426500143,360.63792118999845,1094.6517758400005,0.13408107719969076,1.0488024276669887,0.008218556637721175,0.08985152200992053,,,1.7986311,3.4800222728410266
160730.54+491932.4,-3.3754985671543984,1.1524685976349882,5.892224871560686,2.01173367417606,0.18032293558724352,0.06156617061545597,0.7253898281033575,,,,,,,,,,1,4,2,3,2,1,1,1,171.5518433699981,160.14007851499628,1081.0682726649975,160.13976068000193,4.633861719357542,1.159229943146383,0.7253898281033575,,,,0.59216815,1.7397228806091756
113535.74+533407.4,-2.3110233772201934,1.1858873322492232,3.6254803419678168,1.8603927823654245,0.06060020966174129,0.03109662224877559,0.19297192069921806,0.0990924324158155,-0.8480421366150251,1.3647652027471218,0.9130965832885957,1.469458167012365,0.03356465511075701,0.05401603453362876,0.12687811332743157,0.2042557122424218,9,7,6,6,2,4,3,3,168.52668590000394,157.93592922500102,168.39533684000344,157.87047752999933,1.9244106097729077,0.7453724502176444,0.15992501701332482,0.11351179029702375,,,1.9815805,1.0408391415820508
222135.24+253943.1,-0.4080948202414014,1.143239884919272,0.7365355429886359,2.063336184730767,0.023599414787316586,0.06611157727915916,0.07753921234339302,0.2172343756145823,,,,,,,,,4,3,1,6,1,2,2,2,174.62677689499833,162.51196265999897,729.298355125,363.78612068000075,0.5723151816150187,1.179444111190686,0.07753921234339302,0.2172343756145823,,,1.836255,1.2075055640659524
154059.00+401232.1,-1.1376061270682607,1.3809194495788009,1.1945463263921852,1.450038125048613,0.023129549845821273,0.028076541152613207,0.06918109441736879,,-2.1098226557306936,1.2000174936304377,3.180525588702004,1.8090081339371251,0.07399837864249936,0.04208853698204998,0.21964786904524947,0.12498548605023,16,6,15,10,14,6,8,5,165.355039080001,161.60694779999903,165.4532162050018,161.18234000999655,1.9056251744732857,0.7383301050338728,0.14441448173130914,,,,0.2583297,1.568199443741634
145806.56+355911.2,-1.1636546723159755,1.2266594531335835,1.6379864278509673,1.7266733710860853,0.023150746644900577,0.02440421793052084,0.06558208862033282,,-3.1993491178672335,1.183990461866441,5.04706165449829,1.867777675779681,0.10160095861291618,0.03759969965215024,0.30945859315788227,,12,14,10,8,10,7,9,7,160.81496587999573,160.82240472000558,160.5531597299996,160.78974238999945,2.7620129681331163,0.7655276450066738,0.18752034088910755,,,,0.38723087,1.3121481564835316
151639.06+280520.4,3.3435289062402718,1.0785020714348699,-8.277311381112552,2.669962701318364,0.11352482996289531,0.03661902370449417,0.243058790250454,0.0784989272293161,6.0990878116825735,1.1153514228154582,-12.347019806467145,2.2579222555699934,0.20979332737781525,0.03836529222285177,0.4125120843874466,0.07587543383301244,12,14,4,4,12,14,4,4,179.5631174999944,161.11172993500077,179.5631174999944,161.11172993500077,7.516736976375636,0.9563632041847162,0.32778543731895027,0.05458745972176511,,,1.189,1.1885524974756272
124151.80+534351.3,0.27544054334298795,1.331089365573251,-0.3135276079337608,1.5151482772620404,0.004507041868012318,0.021780655192921595,0.01061969173231632,0.051320642679104043,-1.8021122414461492,1.1666993711488685,2.9985792223622947,1.9412999993067814,0.056912681942790144,0.03684564629546299,0.18201768713246222,,15,13,19,14,8,11,11,7,158.24688726000022,158.22873219499888,158.47596826499648,158.19606990999455,1.3474149037712984,0.7581765259151395,0.09631868943238928,,-1.7538454975369304,1.0706533277972452,0.2026231,0.9408449399806118
122702.40+550531.9,2.332543973652828,1.405896313117762,-2.3603903658140193,1.422680193942843,0.041543083425888694,0.025039299787577535,0.11008269885485429,0.06636166933019912,0.26956462636324746,1.4600209068393926,-0.2533988953861826,1.3724637762199954,0.0066345726168409724,0.035934294715208356,0.020793019333089715,,14,13,9,11,10,8,6,8,162.1694782400009,158.19747865000681,162.3987502050004,158.19754232501145,1.3039744653040692,0.7078082916174908,0.065437859093972,,,,0.11292132,1.6112356108777957
142349.72+523903.6,-1.2452753872364108,1.4943435325525871,1.1214317375885683,1.3457298533649906,0.01579577440131069,0.018955095041782236,0.03833195649121708,0.04599974904837345,-0.5473210873130209,1.4890098306350175,0.49610097453544233,1.3496633789452612,0.010844651197872646,0.029503325593967168,0.03047335318651603,,14,21,22,18,9,15,21,11,166.82414351499756,159.2349339999928,166.4637123299981,159.3003220199971,0.8525322966683606,0.7107563288371571,0.03440265483886656,,0.4391481383433204,0.20183238952168614,0.92223245,0.921661383574468
160833.97+421413.4,1.2212064235348874,1.5940965910369713,-0.9837108880600517,1.2840828077888684,0.04111969514739386,0.05367541850066878,0.15103241044010957,,,,,,,,,,1,3,4,1,1,1,1,2,363.7521143900012,160.82176562500536,364.9957015799955,730.9598238649996,1.1024586557974696,1.0234760132527088,0.15103241044010957,,,,0.030520106,1.4181115145737409
153849.63+440637.7,-1.054154814051325,1.667790417695784,0.7897842173813577,1.2495266655698833,0.04183329525860355,0.06618493606721843,0.1687085045598907,,,,,,,,,,5,1,6,1,1,2,16,16,164.86679350000486,160.04006462999678,1276.8935829300026,0.0,0.9219695157163414,1.041974299746408,0.1687085045598907,,,,0.030443894,1.4259135772232034
013620.77+301949.3,-1.338614231163062,1.2723361935255006,1.7016352099514649,1.6173831230805726,0.044768984415741786,0.04255236340199097,0.12416448583531318,0.1180382435558114,0.07651533300773729,1.5160864318491478,-0.06714666915122242,1.3304543029792202,0.002669353717405454,0.052890980064809495,0.008011446740028762,,6,6,7,5,2,5,1,5,163.73420928999985,160.70622903000185,360.8857242000013,160.83700485000008,0.7959778608183716,0.7203902708486313,0.06608796628767097,,,,1.8045831,1.167152661790745
023324.70-012819.6,-1.0514639526780338,1.2439169880150327,1.42124834131536,1.6813842751789634,0.03579647715718187,0.04234842852529568,0.06821198824008201,0.08070202699742911,-1.0956677904408503,1.2931165652095935,1.3364282505297445,1.5772641343036577,0.04092853850625788,0.04830421373522886,0.10042079947197477,0.11854232843487737,6,7,7,8,5,7,6,4,172.38750672000606,204.17950172500423,172.55189973000233,204.47364570999343,1.2262020837409973,0.7303378993003685,0.08431639385602839,0.07170268612865231,,,1.9649454,1.2891039577649637
122256.17+555533.3,0.31114239074847266,1.4275915610138588,-0.3053914065285948,1.4012047465393938,0.00854005265088803,0.039183690353776175,0.03198017080927643,,,,,,,,,,4,4,2,4,14,1,16,16,160.20618644999922,157.83813212499808,2557.66637929,0.0,0.30826689863853374,1.0001740357061006,0.03198017080927643,,-0.15661618562983262,0.3268901644227966,0.49313906,0.492841406209132
