W2 mean unc yes/no,W2 epoch measurements
0,12
0,12
1,1
1,3
1,4
1,3
1,4
1,3
1,3
0,2
1,2
0,1
0,11
0,13
0,7
0,5
1,5
1,5
0,11
0,7
0,10
0,12
0,8
1,5
0,5
0,5
0,5
0,7
0,6
1,3
0,6
1,2
0,6
1,4
1,2
0,14
0,8
1,2
1,3
1,1
1,2
1,1
1,1
1,1
0,1
0,17
0,13
0,5
0,12
0,11
0,7
0,8
0,21
0,11
1,3
1,2
0,2
1,1
0,1
0,20
0,13
1,1
1,4
1,1
1,1
1,3
1,1
1,2
1,4
1,3
1,2
1,5
1,2
1,4
1,1
0,5
1,1
1,4
0,12
0,11
0,6
1,7
0,8
0,9
0,8
0,9
0,7
0,12
1,8
0,8
0,8
1,9
1,4
0,10
1,3
0,7
0,4
0,10
1,4
0,11
0,6
0,8
1,3
0,11
0,10
0,5
0,10
0,8
0,9
0,7
0,10
0,9
0,9
0,9
0,9
0,9
0,9
0,8
1,7
1,7
0,9
1,8
0,9
1,8
0,15
0,10
1,3
1,3
1,3
1,3
0,2
1,1
1,1
1,1
1,2
0,1
0,28
0,15
1,2
1,1
1,1
1,1
1,2
1,3
1,1
1,1
1,1
1,3
1,1
1,1
0,1
0,16
0,11
0,14
1,7
0,7
0,10
0,7
0,7
0,13
0,10
0,10
1,11
0,11
1,11
0,9
0,14
0,8
0,8
0,7
0,10
0,6
0,7
1,8
0,4
1,1
0,13
0,8
0,7
0,8
0,3
1,7
1,4
0,8
0,9
0,11
0,4
0,11
0,10
0,10
0,7
0,10
0,8
0,9
0,5
0,9
1,9
0,12
0,6
0,7
1,2
0,12
0,11
0,12
0,9
1,3
0,9
0,12
1,7
1,13
0,8
0,10
0,12
0,10
0,9
0,8
0,10
0,9
0,8
0,12
1,6
0,11
0,8
0,10
0,6
0,11
0,13
0,11
1,1
1,4
1,6
1,1
0,6
0,9
1,6
1,5
0,5
0,6
1,3
1,8
0,9
0,7
0,5
1,4
1,6
1,6
0,2
1,4
0,5
0,11
0,14
0,8
0,11
0,11
0,8
0,6
0,11
0,6
0,10
1,6
0,13
0,12
0,10
0,10
0,10
0,8
1,7
0,3
1,6
0,9
1,7
0,9
1,9
0,3
0,10
0,14
0,9
0,7
0,9
0,9
0,6
0,8
0,7
0,5
1,8
0,7
0,8
0,8
0,5
0,7
0,10
0,8
0,7
0,7
0,7
0,7
1,6
1,7
0,5
0,10
1,9
0,8
0,3
0,7
0,9
1,8
0,5
1,5
0,8
0,8
0,8
0,10
0,10
0,7
1,5
0,8
0,5
0,8
1,6
0,10
0,8
0,7
0,5
0,5
0,10
0,20
0,10
1,1
0,11
0,8
0,8
0,5
0,9
0,7
1,9
0,12
0,9
0,10
0,7
0,8
0,8
0,8
0,10
0,9
0,9
0,6
0,6
1,5
0,7
0,28
0,20
0,14
0,14
0,14
0,12
0,16
0,10
0,19
0,10
0,10
1,5
0,5
1,7
1,2
0,8
0,2
1,4
0,5
0,6
0,9
0,18
1,4
0,8
0,44
0,20
1,2
1,1
1,1
1,2
1,5
1,1
1,1
1,3
1,1
1,3
1,1
1,1
1,4
1,1
1,1
1,1
0,3
1,1
1,2
0,10
0,14
0,16
0,10
0,8
0,10
1,5
0,13
0,16
0,12
0,11
0,10
0,10
0,12
0,5
0,10
0,8
0,13
0,9
0,16
0,7
1,10
1,7
1,11
1,4
0,10
0,12
0,17
0,11
0,10
0,10
0,11
0,9
0,12
0,12
0,13
0,9
0,12
0,5
0,12
0,8
0,8
0,8
0,7
1,8
1,7
0,4
1,2
1,3
1,2
0,14
0,22
0,12
0,14
0,10
0,11
0,17
0,14
1,7
1,13
0,15
0,14
0,13
0,12
0,11
0,25
0,9
0,11
0,10
0,15
0,11
0,11
0,17
0,13
0,9
0,14
0,41
0,21
0,33
0,18
0,16
0,21
0,21
0,20
0,28
0,21
0,19
0,20
0,17
1,11
0,15
0,16
1,9
0,7
0,12
1,2
0,6
0,7
1,7
0,3
0,16
0,16
0,10
0,23
0,13
0,9
0,14
0,11
0,16
0,10
0,8
0,10
0,11
1,11
0,11
0,6
0,11
1,7
1,6
0,8
0,7
1,5
0,12
0,2
0,14
0,20
0,30
1,2
1,3
1,3
0,4
0,8
1,2
1,1
1,2
1,1
1,2
1,2
1,3
1,2
1,4
1,5
1,1
1,2
1,1
1,2
0,18
0,36
0,19
0,31
0,16
0,19
0,12
0,13
0,10
0,38
0,22
0,17
0,20
0,20
0,11
0,17
0,17
0,19
1,5
0,18
0,11
0,15
0,13
0,17
0,8
0,13
0,21
0,16
1,3
1,2
1,2
1,1
1,2
1,1
1,2
0,5
1,3
1,3
0,3
0,3
0,1
0,11
0,11
0,12
0,12
0,11
0,12
0,11
0,13
0,10
1,11
0,6
0,13
0,10
0,9
0,9
0,12
1,10
0,13
0,15
0,13
1,7
0,4
0,9
0,11
1,6
1,7
0,3
0,11
0,8
0,13
0,10
1,9
1,6
0,6
0,2
0,5
1,3
0,6
1,4
1,1
1,4
1,1
1,4
1,2
0,27
0,20
1,7
0,12
0,13
0,8
0,8
0,13
0,17
0,14
0,24
0,14
0,13
0,7
0,12
0,10
0,17
0,12
1,7
0,9
0,11
0,5
0,10
1,6
0,21
0,26
0,18
0,26
0,19
0,21
0,31
0,20
0,19
0,19
0,18
0,22
0,18
0,14
0,19
0,11
0,16
0,17
0,16
0,13
0,19
0,19
0,31
0,9
0,21
0,25
0,14
0,19
0,27
0,17
0,37
0,29
0,24
0,18
0,25
0,24
0,24
0,18
0,32
0,20
0,12
0,15
0,13
0,15
0,13
0,18
0,22
0,16
0,8
0,26
0,42
0,30
0,14
0,14
0,18
0,22
0,15
0,19
0,20
0,25
0,7
0,17
1,9
0,12
0,14
0,13
0,10
0,17
0,11
0,30
0,29
0,29
0,14
0,20
0,27
0,42
0,28
0,19
0,17
1,11
0,16
0,5
0,12
0,13
0,11
0,7
1,6
1,5
1,3
1,1
1,1
0,3
0,13
1,7
0,15
1,3
0,7
1,4
0,19
0,22
1,3
1,2
1,1
1,1
1,2
1,1
1,2
1,1
1,1
1,3
0,1
0,25
0,28
0,18
0,25
0,24
0,22
0,20
0,24
0,25
0,26
0,28
0,39
0,24
0,14
0,23
0,18
0,25
0,16
0,22
0,18
0,26
0,21
0,22
0,13
0,20
0,19
0,19
0,17
0,15
0,17
0,19
0,29
0,19
0,18
0,16
0,16
0,16
0,18
0,17
0,12
0,16
0,15
0,16
0,16
0,18
0,16
0,14
0,54
0,46
1,2
0,2
1,4
1,2
1,4
1,5
0,3
1,9
0,2
0,7
1,2
1,3
1,3
1,5
0,4
1,6
1,3
1,4
1,5
0,5
1,1
0,1
1,15
1,12
0,7
1,4
0,7
1,3
1,1
1,9
0,2
0,2
1,3
1,3
0,6
1,7
1,6
1,4
0,9
1,7
0,12
0,8
0,5
1,2
0,11
0,2
1,1
0,7
1,1
1,1
1,1
1,1
0,2
1,3
1,3
1,5
0,2
1,1
1,1
1,1
1,1
1,2
0,7
0,18
0,12
0,15
0,14
0,16
0,12
0,17
0,14
0,13
0,13
0,21
0,17
0,17
0,11
1,9
0,10
0,13
0,10
0,13
0,13
0,13
0,15
0,14
0,14
0,12
0,10
0,12
0,19
0,16
0,13
0,13
0,11
0,15
0,14
1,11
0,9
1,10
0,6
0,10
0,9
0,8
0,10
0,14
1,9
0,4
0,7
0,7
0,9
0,10
0,10
0,10
0,7
0,10
0,10
0,7
0,11
1,7
0,8
0,7
0,6
0,8
0,6
0,5
1,7
0,8
0,10
0,6
1,5
