ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
214.8473843,-3.0832164,0.723,0.8334,0.2181,16.567,0.355,3.1,0.9976,14.617,0.3,3.6,0.6199,1,0,0000,BB,10,56861.95738475,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.376534,235.532166
214.8475499,-3.0824912,1.1332,1.2766,0.2689,16.015,,1.5,0.7953,15.116,0.417,2.6,1.377,1,0,0000,UC,10,57410.24039522,,,,,,,,,,,,,,,,,1.9095,343.586026
214.8476756,-3.0826444,0.8278,0.9139,0.1336,16.119,0.29,3.7,0.6737,14.122,,0.6,0.5745,1,0,0000,BU,10,57410.50258487,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.283162,356.080383
214.8476409,-3.0830779,0.9637,1.1379,-0.2142,16.401,0.36,3.0,0.6654,14.663,,1.9,0.3321,1,0,0000,CU,5,57579.54575907,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,0.351828,217.146362
214.8471928,-3.0831549,0.973,1.1351,0.3618,16.167,0.318,3.4,0.6062,15.396,,0.1,0.6507,1,0,0000,BU,10,57579.67679022,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.906646,252.994002
214.8479225,-3.0829096,0.9512,1.0293,-0.4203,16.209,0.286,3.8,0.8269,15.138,,0.5,0.7402,1,0,0000,BU,10,57777.27094797,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,0.863513,67.859532
214.8479497,-3.0832543,0.7574,0.7251,-0.2358,15.838,0.259,4.2,0.74,15.133,,0.4,0.581,1,0,0000,BU,10,57778.122334,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.282116,135.564419
214.8475687,-3.0825811,0.6458,0.6971,-0.1586,16.034,0.294,3.7,1.165,14.79,0.337,3.2,1.12,1,0,0000,BB,10,58142.14187286,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.580179,342.620588
214.8475453,-3.0829359,0.8568,0.8093,-0.2999,15.906,0.3,3.6,0.4574,14.926,,1.2,0.9296,1,0,0000,BU,10,59398.70625142,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,0.602093,292.536047
214.84792,-3.083283,2.3697,2.8098,0.7101,16.234,,1.0,1.126,14.725,,0.7,0.607,1,0,0000,UU,10,59762.5952572,2147003101351032381,17.43,0.152,16.976,0.406,12.316,,8.893,,,,,,,,,1.289731,142.179249
